"Word","Occurrence"
"scheme",50116
"funding",48506
"grant",36401
"land",34076
"farmers",29391
"schools",25380
"environment",25196
"requirements",25066
"research",24870
"payments",24647
"details",24267
"website",24253
"gateway",24247
"summaries",24239
"employers",19865
"support",19685
"payment",19128
"practices",17679
"health",16518
"greening",16357
"year",15504
"people",14166
"areas",13962
"sector",12506
"grants",12488
"farming",12098
"capital",11762
"children",11719
"service",11707
"cost",11663
"revenue",11629
"climate",11549
"benefits",11282
"quality",11234
"families",10998
"authorities",10765
"jobs",10544
"academies",10537
"increase",10435
"pupils",10419
"attainment",10240
"kickstart",10220
"credit",10203
"olds",10202
"levy",10023
"years",9748
"nics",9660
"animal",9561
"circumstances",9466
"fund",9437
"rpa",9320
"england",9141
"income",9019
"number",8956
"activities",8818
"sport",8626
"stewardship",8568
"woodland",8539
"rate",8467
"age",8446
"amount",8343
"entitlement",8328
"rules",8275
"production",8251
"compliance",8234
"hectare",8232
"plant",8205
"laws",8186
"crossborder",8183
"meeting",8181
"entitlements",8178
"water",7939
"countryside",7790
"management",7674
"infrastructure",7636
"plan",7606
"pe",7511
"range",7034
"air",6764
"business",6336
"contribution",6307
"programme",6143
"outcomes",5919
"protection",5841
"wildlife",5810
"options",5735
"tier",5706
"agreements",5578
"groups",5513
"managers",5466
"teachers",5418
"employer",5380
"pension",5295
"teacher",5042
"community",4229
"maintenance",3868
"government",3792
"family",3769
"biodiversity",3719
"energy",3715
"work",3679
"country",3671
"measure",3622
"milk",3528
"investment",3519
"education",3490
"change",3434
"schemes",3426
"economy",3407
"items",3364
"area",3359
"productivity",3332
"landscape",3323
"place",3283
"farms",3273
"measures",3248
"individuals",3220
"erosion",3210
"improvements",3143
"development",3128
"services",3117
"priority",3076
"bodies",2999
"growth",2965
"costs",2949
"tree",2947
"help",2931
"offers",2919
"trees",2911
"foresters",2848
"condition",2847
"site",2820
"world",2803
"purpose",2786
"flooding",2772
"habitat",2762
"objective",2761
"incentives",2729
"elements",2724
"adaptation",2718
"character",2716
"mitigation",2713
"set",2706
"boundaries",2705
"orchards",2701
"facilitation",2699
"rates",2650
"burdens",2644
"housing",2623
"project",2571
"provision",2437
"price",2413
"projects",2347
"changes",2314
"mats",2271
"communities",2253
"risk",2189
"colleges",2105
"form",2086
"businesses",2085
"care",2082
"school",2073
"improvement",2054
"welfare",2025
"reliefs",1956
"compensates",1951
"part",1940
"implementation",1924
"investments",1917
"farm",1912
"access",1834
"training",1785
"providers",1768
"organisations",1750
"testing",1733
"expenditure",1722
"creativity",1720
"priorities",1718
"resettlement",1695
"reform",1691
"transport",1678
"relief",1660
"activity",1642
"delivery",1625
"money",1601
"technologies",1582
"planning",1556
"needs",1518
"vision",1513
"technology",1441
"department",1424
"act",1414
"equipment",1405
"aim",1395
"resilience",1390
"forces",1373
"value",1373
"apprenticeship",1369
"esif",1369
"result",1364
"buildings",1363
"focus",1343
"flood",1317
"fif",1284
"heritage",1271
"authority",1269
"agency",1268
"tax",1254
"evaluation",1253
"partnership",1252
"capacity",1251
"subsidy",1251
"sectors",1222
"fuel",1215
"time",1208
"home",1192
"system",1190
"commitments",1182
"culture",1179
"design",1160
"assistance",1150
"wales",1146
"creation",1108
"abuse",1102
"interventions",1073
"discount",1068
"innovation",1068
"alternative",1063
"regulations",1054
"objectives",1036
"strategy",1008
"las",1002
"council",1000
"drug",973
"bills",968
"recovery",967
"term",963
"scale",948
"funds",945
"goals",914
"members",902
"games",897
"accommodation",889
"produce",884
"portion",883
"dairy",882
"experiences",880
"initiative",880
"victims",874
"crime",873
"challenges",869
"chance",856
"audit",852
"nature",835
"model",834
"approaches",823
"budget",822
"micro",807
"reporting",806
"transparency",806
"levels",803
"rd",802
"benefit",800
"knowledge",797
"englands",789
"ctp",788
"experience",785
"data",784
"network",782
"renewal",775
"advice",772
"dwp",771
"contracts",764
